user_id,concept_id,concept_name,category,elapsed_days,prior_exposures,prior_accuracy,predicted_recall_probability,estimated_half_life_days,risk_score
user_091,rag,Retrieval-Augmented Generation,ai,23,2,0.0,1e-05,1.3729442832679453,0.99999
user_015,vector-db,Vector Databases,ai,25,1,0.0,1e-05,1.2404839284089273,0.99999
user_013,oop,Object-Oriented Programming,programming,24,1,0.0,1e-05,1.2477366940474062,0.99999
user_048,statistics,Statistics Fundamentals,data-science,19,1,0.0,1e-05,1.1187869318074768,0.99999
user_043,statistics,Statistics Fundamentals,data-science,20,2,0.0,1e-05,1.0135634779175005,0.99999
user_018,rag,Retrieval-Augmented Generation,ai,20,2,0.0,1e-05,1.1641722238956285,0.99999
user_020,vector-db,Vector Databases,ai,24,1,0.0,1e-05,1.1396411843288452,0.99999
user_027,prompt-engineering,Prompt Engineering,ai,24,1,0.0,1e-05,1.280937876939754,0.99999
user_005,neo4j-graph,Neo4j Knowledge Graphs,backend,28,1,0.0,1e-05,1.4434105499161636,0.99999
user_089,neo4j-graph,Neo4j Knowledge Graphs,backend,18,3,0.0,1e-05,1.0309463432719574,0.99999
user_027,vector-db,Vector Databases,ai,26,1,0.0,1e-05,0.8814234191053786,0.99999
user_085,neo4j-graph,Neo4j Knowledge Graphs,backend,22,1,0.0,1.5270406226093038e-05,1.375094363018089,0.9999847295937739
user_028,rag,Retrieval-Augmented Generation,ai,27,1,0.0,1.8515844791505018e-05,1.7174610981236942,0.9999814841552085
user_053,linear-regression,Linear Regression,machine-learning,20,1,0.0,1.930898516655534e-05,1.277109186100599,0.9999806910148334
user_043,classification,Classification Metrics,machine-learning,16,1,0.0,3.363202714041401e-05,1.0767301646607481,0.9999663679728595
user_033,oop,Object-Oriented Programming,programming,20,3,0.0,4.083675897955293e-05,1.3717635541858402,0.9999591632410204
user_045,prompt-engineering,Prompt Engineering,ai,23,1,0.0,4.2253184771770296e-05,1.5828686388271391,0.9999577468152282
user_014,python-basics,Python Basics,programming,22,1,0.0,6.338279302629734e-05,1.5775642552439333,0.9999366172069737
user_051,rag,Retrieval-Augmented Generation,ai,17,1,0.0,7.989989660521905e-05,1.2489487856853403,0.9999201001033948
user_022,linear-regression,Linear Regression,machine-learning,15,1,0.0,9.748622210183253e-05,1.1257506950492633,0.9999025137778982
user_060,linear-regression,Linear Regression,machine-learning,24,1,0.0,0.00011002775838395016,1.8251165921392736,0.999889972241616
user_039,neo4j-graph,Neo4j Knowledge Graphs,backend,19,2,0.0,0.00012119544578988224,1.4603727591489908,0.9998788045542101
user_045,statistics,Statistics Fundamentals,data-science,17,2,0.0,0.00012184169632350138,1.307420319335132,0.9998781583036765
user_033,rag,Retrieval-Augmented Generation,ai,21,6,0.5,0.00012422885625149586,1.6185330289687945,0.9998757711437485
user_051,statistics,Statistics Fundamentals,data-science,18,1,0.0,0.00013429465526388636,1.399437528180034,0.9998657053447361
user_093,fastapi,FastAPI Backend,backend,19,1,0.0,0.0001494711479627775,1.4951393788369984,0.9998505288520372
user_045,rag,Retrieval-Augmented Generation,ai,14,3,0.0,0.00015875401871283485,1.109269436255928,0.9998412459812872
user_001,fastapi,FastAPI Backend,backend,21,3,0.5,0.00015920467403864565,1.6644434870136484,0.9998407953259614
user_009,fastapi,FastAPI Backend,backend,22,1,0.0,0.00016155013624023087,1.746623600212813,0.9998384498637598
user_096,sql-joins,SQL Joins,data,24,1,0.0,0.0001703338119003494,1.9170328111352373,0.9998296661880997
user_005,linear-regression,Linear Regression,machine-learning,20,2,0.0,0.00017125416558794366,1.5985199880277037,0.9998287458344121
user_030,classification,Classification Metrics,machine-learning,16,2,0.0,0.00020322605110390595,1.3045647422714763,0.9997967739488961
user_058,rag,Retrieval-Augmented Generation,ai,17,2,1.0,0.00024603250589451403,1.4179826204681305,0.9997539674941055
user_031,neo4j-graph,Neo4j Knowledge Graphs,backend,16,3,0.0,0.00024996740244157624,1.3371249282061453,0.9997500325975585
user_030,statistics,Statistics Fundamentals,data-science,15,1,0.0,0.0002558897110265251,1.2571036581347668,0.9997441102889735
user_074,neo4j-graph,Neo4j Knowledge Graphs,backend,23,1,0.0,0.00026795618109759983,1.9383576506081417,0.9997320438189023
user_061,pandas,Pandas DataFrames,data,16,1,0.0,0.000272071648013151,1.3509262482690731,0.9997279283519869
user_043,sql-joins,SQL Joins,data,15,1,0.0,0.0002725250036530787,1.2667502620390818,0.999727474996347
user_044,rag,Retrieval-Augmented Generation,ai,15,3,0.0,0.0002793600525652689,1.2705848893679612,0.9997206399474348
user_057,rag,Retrieval-Augmented Generation,ai,12,1,0.0,0.00029074375476555636,1.0214535743645923,0.9997092562452344
user_092,neo4j-graph,Neo4j Knowledge Graphs,backend,14,5,0.0,0.0002968596341642804,1.1947501199910333,0.9997031403658357
user_050,rag,Retrieval-Augmented Generation,ai,18,4,0.0,0.00033946057603493067,1.5618941768034154,0.999660539423965
user_091,classification,Classification Metrics,machine-learning,17,4,1.0,0.00035562292649035995,1.4837618788055922,0.9996443770735096
user_058,fastapi,FastAPI Backend,backend,19,2,0.0,0.0004583216053321496,1.7130463316902342,0.9995416783946679
user_098,rag,Retrieval-Augmented Generation,ai,20,7,0.0,0.00048297861611395316,1.815581729459527,0.9995170213838861
user_088,sql-joins,SQL Joins,data,18,1,0.0,0.0005382639280820037,1.6575503494567054,0.999461736071918
user_046,neo4j-graph,Neo4j Knowledge Graphs,backend,24,2,0.0,0.0005690623625083017,2.2265256807386025,0.9994309376374917
user_019,prompt-engineering,Prompt Engineering,ai,16,1,0.0,0.000606038711521219,1.4969636297711595,0.9993939612884788
user_038,rag,Retrieval-Augmented Generation,ai,25,1,0.0,0.0006085202453820296,2.3402965010498877,0.999391479754618
user_091,neo4j-graph,Neo4j Knowledge Graphs,backend,12,2,0.0,0.0006332899568736986,1.1294281157249675,0.9993667100431263
